Peter Hyams,37710,2,10077
Paul W.S. Anderson,4014,2,76649
Andrés Couturier,1172908,0,293644
Ron Howard,6159,2,453
Roger Allers,15812,2,8587
Rob Minkoff,18898,2,8587
Brad Peyton,132876,2,72545
Cody Cameron,12095,2,109451
Kris Pearn,1046494,0,109451
Brett Ratner,11091,2,9533
Joe Johnston,4945,2,2023
Dennis Dugan,17494,2,71880
John Singleton,6482,2,584
Mark Osborne,57741,2,309809
Oliver Hirschbiegel,7832,2,4858
James McTeigue,11266,2,4858
Des McAnuff,588701,2,17711
Chris Renaud,124748,0,328111
Stephen Norrington,10808,2,8698
Pierre Coffin,124747,2,93456
Chris Renaud,124748,0,93456
Roland Emmerich,6046,2,602
Steven Spielberg,488,2,330
Eric Darnell,18863,2,953
Tom McGrath,18864,2,953
Alfonso Cuarón,11218,2,9693
Bryan Singer,9032,2,36657
Timur Bekmambetov,23430,2,8909
Michael Bay,865,2,9802
Carlos Saldanha,5714,2,950
Peter Segal,13426,2,1824
Adam Shankman,20739,2,2976
Renny Harlin,16938,2,11026
David Kellogg,4759,2,332
Louis Leterrier,18865,2,75656
Dennis Dugan,17494,2,38365
Steven Spielberg,488,2,594
Thor Freudenthal,109857,2,15189
Martin Campbell,10702,2,11678
Mike Nichols,5342,2,6538
Vicky Jenson,12058,1,10555
Bibo Bergeron,65629,2,10555
Rob Letterman,65630,0,10555
Bill Condon,15557,2,1125
F. Gary Gray,37932,2,4551
Steven Spielberg,488,2,612
Antoine Fuqua,20907,2,9567
Robert Luketic,36797,2,37821
Guy Ritchie,956,2,203801
James L. Brooks,3388,2,2539
Gil Kenan,57193,2,9297
Barry Levinson,8246,2,3172
Jerry Zucker,3415,2,6520
Andy Tennant,17167,2,1439
Tarsem Singh,56512,2,37958
Florent-Emilio Siri,1011158,0,2026
Gary Goldman,12881,2,7450
Don Bluth,40345,2,7450
Ron Shelton,4037,2,11375
Paul W.S. Anderson,4014,2,9425
Àlex Pastor,94220,2,25769
David Pastor,94222,2,25769
Henry Selick,57646,2,23685
John Moore,12028,2,11866
M. Night Shyamalan,11614,2,9741
Kyle Balda,8023,0,211672
Pierre Coffin,124747,2,211672
Zack Snyder,15217,2,23629
Brian De Palma,1150,2,8688
Barry Levinson,8246,2,10153
Fergal Reilly,52701,0,153518
Clay Kaytis,1281387,0,153518
Andy Tennant,17167,2,8676
Judd Apatow,41039,2,20829
Peter Berg,36602,2,4349
Adam McKay,55710,2,9718
Steve Carr,52112,2,10808
Mel Gibson,2461,2,197
Sam Mendes,39,2,25
David Silverman,197,2,35
Frank Darabont,4027,2,11086
Renny Harlin,16938,2,10477
Jean-Jacques Annaud,2352,2,1997
M. Night Shyamalan,11614,2,6947
Betty Thomas,31024,1,3050
M. Night Shyamalan,11614,2,2675
Andrew Adamson,5524,2,809
Kelly Asbury,12079,2,809
Conrad Vernon,12080,2,809
John Lasseter,7879,2,920
Joe Ranft,7911,0,920
Garry Marshall,1201,2,4806
Rob Cohen,18878,2,7451
Paul Tibbitt,217174,0,228165
Ron Howard,6159,2,3595
Quentin Tarantino,138,2,16869
Steven Spielberg,488,2,879
Renny Harlin,16938,2,1573
